iShares S&P Small-Cap 600 Growth ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"44,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"SHAK","SHAKE SHACK INC CLASS A","EQUITY","Consumer Discretionary","Equity","34,093,738.98","34,093,738.98","348,393.00","97.86","United States","NYSE","USD","1.00","USD","-","0.49","0.50"
"CORT","CORCEPT THERAPEUTICS INC","EQUITY","Health Care","Equity","33,924,958.15","33,924,958.15","810,245.00","41.87","United States","NASDAQ","USD","1.00","USD","-","0.49","0.49"
"VIRT","VIRTU FINANCIAL INC CLASS A","EQUITY","Financials","Equity","33,806,088.04","33,806,088.04","690,766.00","48.94","United States","NYSE","USD","1.00","USD","-","0.49","0.49"
"TMDX","TRANSMEDICS GROUP INC","EQUITY","Health Care","Equity","32,345,516.56","32,345,516.56","295,771.00","109.36","United States","NASDAQ","USD","1.00","USD","-","0.47","0.47"
"SEE","SEALED AIR CORP","EQUITY","Materials","Equity","32,234,886.90","32,234,886.90","764,766.00","42.15","United States","NYSE","USD","1.00","USD","-","0.47","0.47"
"URBN","URBAN OUTFITTERS INC","EQUITY","Consumer Discretionary","Equity","31,769,712.90","31,769,712.90","465,695.00","68.22","United States","NASDAQ","USD","1.00","USD","-","0.46","0.46"
"ENVA","ENOVA INTERNATIONAL INC","EQUITY","Financials","Equity","31,535,054.46","31,535,054.46","213,913.00","147.42","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"BRC","BRADY NONVOTING CORP CLASS A","EQUITY","Industrials","Equity","31,475,934.54","31,475,934.54","377,681.00","83.34","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","STIF","Cash and/or Derivatives","Money Market","31,053,793.41","3,175,204.56","31,053,793.00","1.00","United States","-","USD","1.00","USD","-","0.05","0.45"
"PJT","PJT PARTNERS INC CLASS A","EQUITY","Financials","Equity","30,870,280.76","30,870,280.76","210,374.00","146.74","United States","NYSE","USD","1.00","USD","-","0.45","0.45"
"STEP","STEPSTONE GROUP INC CLASS A","EQUITY","Financials","Equity","30,844,063.44","30,844,063.44","635,436.00","48.54","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"ATMU","ATMUS FILTRATION TECHNOLOGIES INC","EQUITY","Industrials","Equity","30,618,050.00","30,618,050.00","485,000.00","63.13","United States","NYSE","USD","1.00","USD","-","0.44","0.45"
